연도,지역,인구_10만명당_범죄율,범죄발생총건수,CCTV_설치수,조경면적_m2
2024,강원,3288.3,49909.0,31437.0,1731114.31
2024,경기,3240.4,443767.0,339678.0,20615117.41
2024,경남,3738.3,120687.0,67073.0,3797856.46
2024,경북,3337.8,84492.0,43891.0,2471716.61
2024,광주,3549.4,49991.0,25442.0,1214841.21
2024,대구,3184.1,75261.0,77553.0,2173885.59
2024,대전,3395.9,48873.0,26104.0,1191477.69
2024,부산,3843.5,125552.0,67849.0,2075865.33
2024,서울,3440.8,321091.0,119441.0,3147362.59
2024,세종,2326.2,9088.0,21420.0,6763323.7
2024,울산,1735.0,19051.0,25788.0,1035052.98
2024,인천,3320.0,100297.0,67986.0,3548542.13
2024,전남,3791.0,67815.0,29052.0,1876871.29
2024,전북,3293.5,57263.0,36362.0,1745604.44
2024,제주,4568.7,30627.0,2437.0,308021.67
2024,충남,3567.5,76222.0,53400.0,2873511.92
2024,충북,3141.6,49989.0,37050.0,2062442.35
